TIME_PERIOD,geo,energy
1995,AT,1.22E+06
1995,BE,1.09E+06
1995,BG,2.55E+05
1995,CY,1.07E+05
1995,CZ,1.29E+06
1995,DE,9.15E+06
1995,DK,9.59E+05
1995,EE,1.22E+05
1995,ES,2.75E+06
1995,FI,6.49E+05
1995,FR,7.94E+06
1995,GR,1.02E+06
1995,HR,2.94E+05
1995,HU,6.62E+05
1995,IE,2.66E+05
1995,IT,5.69E+06
1995,LT,6.75E+04
1995,LU,1.33E+04
1995,LV,7.51E+04
1995,MT,1.45E+04
1995,NL,3.31E+06
1995,PL,3.56E+06
1995,PT,7.40E+05
1995,RO,1.46E+06
1995,SE,1.40E+06
1995,SI,2.71E+05
1995,SK,7.80E+05
1995,GB,1.15E+07
1995,US,7.36E+07
1995,JP,1.72E+07
1995,CN,4.04E+07
1995,CA,1.63E+07
1995,KR,5.51E+06
1995,BR,8.34E+06
1995,IN,1.32E+07
1995,MX,5.89E+06
1995,RU,3.18E+07
1995,AU,8.32E+06
1995,CH,1.21E+06
1995,TR,1.69E+06
1995,TW,2.08E+06
1995,NO,7.02E+06
1995,ID,6.80E+06
1995,ZA,6.26E+06
1995,WA,2.20E+07
1995,WL,1.55E+07
1995,WE,3.71E+06
1995,WF,2.02E+07
1995,WM,2.39E+07
1996,AT,1.36E+06
1996,BE,1.91E+06
1996,BG,4.68E+05
1996,CY,1.76E+05
1996,CZ,4.72E+06
1996,DE,1.45E+07
1996,DK,1.22E+06
1996,EE,2.17E+05
1996,ES,4.78E+06
1996,FI,1.22E+06
1996,FR,1.43E+07
1996,GR,1.39E+06
1996,HR,2.79E+05
1996,HU,3.07E+06
1996,IE,4.41E+05
1996,IT,8.50E+06
1996,LT,6.40E+04
1996,LU,5.58E+04
1996,LV,7.85E+04
1996,MT,1.06E+05
1996,NL,4.27E+06
1996,PL,6.18E+06
1996,PT,1.15E+06
1996,RO,1.32E+06
1996,SE,1.43E+06
1996,SI,3.65E+05
1996,SK,4.29E+05
