nace_r2,,Material,Other,Overlooked,Providential,final_foundational
,0.00%,15.98%,61.34%,20.62%,2.06%,Other
A01,,96.77%,3.23%,,,Material
A02,,,,100.00%,,Overlooked
A03,,100.00%,,,,Material
B05,,100.00%,,,,Material
B06,,100.00%,,,,Material
B07,,,100.00%,,,Other
B08,,,,100.00%,,Overlooked
B09,,50.00%,,50.00%,,Material
C10,,100.00%,,,,Material
C11,,100.00%,,,,Material
C12,,,100.00%,,,Other
C13,,,,100.00%,,Overlooked
C14,,,,100.00%,,Overlooked
C15,,,,100.00%,,Overlooked
C16,,,,100.00%,,Overlooked
C17,,,,100.00%,,Overlooked
C18,,,,100.00%,,Overlooked
C19,,,100.00%,,,Other
C20,,6.25%,81.25%,12.50%,,Other
C21,,,100.00%,,,Other
C22,,,100.00%,,,Other
C23,,,37.50%,62.50%,,Overlooked
C24,,,100.00%,,,Other
C25,,,94.12%,5.88%,,Other
C26,,,100.00%,,,Other
C27,,10.00%,70.00%,20.00%,,Other
C28,,,100.00%,,,Other
C29,,,100.00%,,,Other
C30,,12.50%,87.50%,,,Other
C31,,,,100.00%,,Overlooked
C32,,,100.00%,,,Other
C33,,33.33%,55.56%,11.11%,,Other
D35,,100.00%,,,,Material
E36,,100.00%,,,,Material
E37,,100.00%,,,,Material
E38,,66.67%,33.33%,,,Material
E39,,,100.00%,,,Other
F41,,,50.00%,50.00%,,Overlooked
F42,,100.00%,,,,Material
F43,,,23.08%,76.92%,,Overlooked
G45,,100.00%,,,,Material
G46,,14.58%,66.67%,18.75%,,Other
G47,,24.32%,45.95%,27.03%,2.70%,Other
H49,,100.00%,,,,Material
H50,,75.00%,,25.00%,,Material
H51,,33.33%,33.33%,33.33%,,Material
H52,,83.33%,16.67%,,,Material
H53,,50.00%,50.00%,,,Material
I55,,,,100.00%,,Overlooked
I56,,,,100.00%,,Overlooked
J58,,,100.00%,,,Other
J59,,,100.00%,,,Other
J60,,,100.00%,,,Other
J61,,100.00%,,,,Material
J62,,,100.00%,,,Other
J63,,,100.00%,,,Other
K64,,14.29%,85.71%,,,Other
K65,,,100.00%,,,Other
K66,,,100.00%,,,Other
L68,,,75.00%,25.00%,,Other
M69,,,100.00%,,,Other
M70,,,100.00%,,,Other
M71,,,100.00%,,,Other
M72,,,100.00%,,,Other
M73,,,100.00%,,,Other
M74,,,100.00%,,,Other
M75,,,,100.00%,,Overlooked
N77,,,100.00%,,,Other
N78,,,100.00%,,,Other
N79,,,,100.00%,,Overlooked
N80,,,100.00%,,,Other
N81,,,100.00%,,,Other
N82,,,100.00%,,,Other
O84,,,,,100.00%,Providential
P85,,,,,100.00%,Providential
Q86,,,,,100.00%,Providential
Q87,,,,,100.00%,Providential
Q88,,,,,100.00%,Providential
R90,,,100.00%,,,Other
R91,,,,100.00%,,Overlooked
R92,,,100.00%,,,Other
R93,,,,100.00%,,Overlooked
S94,,,100.00%,,,Other
S95,,,25.00%,75.00%,,Overlooked
S96,,,40.00%,60.00%,,Overlooked
T97,,,100.00%,,,Other
T98,,,100.00%,,,Other
U99,,,100.00%,,,Other
